date,state,positive,hospitalizedCumulative,death
20200730,NC,120194,,1903
,,,,
20200729,NC,117850,,1865
,,,,
20200728,NC,116087,,1820
,,,,
20200727,NC,114338,,1790
,,,,
20200726,NC,112713,,1785
,,,,
20200725,NC,111092,,1778
,,,,
20200724,NC,108995,,1746
,,,,
20200723,NC,106893,,1726
,,,,
20200722,NC,105001,,1698
,,,,
20200721,NC,102861,,1668
,,,,
20200720,NC,101046,,1642
,,,,
20200719,NC,99778,,1634
,,,,
20200718,NC,97958,,1629
,,,,
20200717,NC,95477,,1606
,,,,
20200716,NC,93426,,1588
,,,,
20200715,NC,91266,,1568
,,,,
20200714,NC,89484,,1552
,,,,
20200713,NC,87528,,1510
,,,,
20200712,NC,85701,,1503
,,,,
20200711,NC,83793,,1499
,,,,
20200710,NC,81331,,1479
,,,,
20200709,NC,79349,,1461
,,,,
20200708,NC,77310,,1441
,,,,
20200707,NC,75875,,1420
,,,,
20200706,NC,74529,,1398
,,,,
20200705,NC,72983,,1396
,,,,
20200704,NC,71654,,1395
,,,,
20200703,NC,70241,,1392
,,,,
20200702,NC,68142,,1391
,,,,
20200701,NC,66513,,1373
,,,,
20200630,NC,64670,,1343
,,,,
20200629,NC,63484,,1325
,,,,
20200628,NC,62142,,1322
,,,,
20200627,NC,60537,,1312
,,,,
20200626,NC,58818,,1303
,,,,
20200625,NC,57183,,1284
,,,,
20200624,NC,56174,,1266
,,,,
20200623,NC,54453,,1251
,,,,
20200622,NC,53605,,1223
,,,,
20200621,NC,52801,,1220
,,,,
20200620,NC,51389,,1212
,,,,
20200619,NC,49840,,1197
,,,,
20200618,NC,48188,,1175
,,,,
20200617,NC,46855,,1168
,,,,
20200616,NC,45853,,1154
,,,,
20200615,NC,45102,,1118
,,,,
20200614,NC,44119,,1109
,,,,
20200613,NC,42676,,1104
,,,,
20200612,NC,41249,,1092
,,,,
20200611,NC,39481,,1064
,,,,
20200610,NC,38171,,1053
,,,,
20200609,NC,37160,,1029
,,,,
20200608,NC,36484,,1006
,,,,
20200607,NC,35546,,996
,,,,
20200606,NC,34625,,992
,,,,
20200605,NC,33255,,966
,,,,
20200604,NC,31966,,960
,,,,
20200603,NC,30777,,939
,,,,
20200602,NC,29889,,921
,,,,
20200601,NC,29263,,898
,,,,
20200531,NC,28589,,886
,,,,
20200530,NC,27673,,877
,,,,
20200529,NC,26488,,859
,,,,
20200528,NC,25412,,827
,,,,
20200527,NC,24628,,794
,,,,
20200526,NC,24140,,766
,,,,
20200525,NC,23964,,754
,,,,
20200524,NC,23222,,744
,,,,
20200523,NC,22725,,737
,,,,
20200522,NC,21618,,728
,,,,
20200521,NC,20860,,716
,,,,
20200520,NC,20122,,702
,,,,
20200519,NC,19700,,691
,,,,
20200518,NC,19023,,661
,,,,
20200517,NC,18512,,659
,,,,
20200516,NC,17982,,652
,,,,
20200515,NC,17129,,641
,,,,
20200514,NC,16507,,615
,,,,
20200513,NC,15816,,597
,,,,
20200512,NC,15346,,577
,,,,
20200511,NC,15045,,550
,,,,
20200510,NC,14764,,547
,,,,
20200509,NC,14360,,544
,,,,
20200508,NC,13868,,527
,,,,
20200507,NC,13397,,507
,,,,
20200506,NC,12758,,477
,,,,
20200505,NC,12256,,452
,,,,
20200504,NC,11848,,430
,,,,
20200503,NC,11664,,422
,,,,
20200502,NC,11509,,420
,,,,
20200501,NC,10923,,399
,,,,
20200430,NC,10509,,378
,,,,
20200429,NC,9948,,354
,,,,
20200428,NC,9568,,342
,,,,
20200427,NC,9142,,306
,,,,
20200426,NC,8830,,299
,,,,
20200425,NC,8623,,289
,,,,
20200424,NC,8052,,269
,,,,
20200423,NC,7608,,253
,,,,
20200422,NC,7220,,242
,,,,
20200421,NC,6951,,213
,,,,
20200420,NC,6764,,179
,,,,
20200419,NC,6493,,172
,,,,
20200418,NC,6140,,164
,,,,
20200417,NC,5859,,152
,,,,
20200416,NC,5465,,131
,,,,
20200415,NC,5123,,117
,,,,
20200414,NC,5024,,108
,,,,
20200413,NC,4816,,86
,,,,
20200412,NC,4520,,81
,,,,
20200411,NC,4312,,80
,,,,
20200410,NC,3908,,74
,,,,
20200409,NC,3651,,65
,,,,
20200408,NC,3426,,53
,,,,
20200407,NC,3221,,46
,,,,
20200406,NC,2870,,33
,,,,
20200405,NC,2585,,31
,,,,
20200404,NC,2402,,24
,,,,
20200403,NC,2093,,19
,,,,
20200402,NC,1857,,16
,,,,
20200401,NC,1584,,10
,,,,
20200331,NC,1498,,8
,,,,
20200330,NC,1307,,6
,,,,
20200329,NC,1040,,4
,,,,
20200328,NC,935,,4
,,,,
20200327,NC,763,,3
,,,,
20200326,NC,636,,2
,,,,
20200325,NC,504,,1
,,,,
20200324,NC,398,,0
,,,,
20200323,NC,297,,0
,,,,
20200322,NC,255,,0
,,,,
20200321,NC,184,,0
,,,,
20200320,NC,137,,0
,,,,
20200319,NC,97,,0
,,,,
20200318,NC,63,,0
,,,,
20200317,NC,40,,0
,,,,
20201202,ND,80135,2791,972
,,,,
20201201,ND,79655,2751,960
,,,,
20201130,ND,79252,2708,933
,,,,
20201129,ND,78658,2667,921
,,,,
20201128,ND,77935,2649,921
,,,,
20201127,ND,77232,2620,908
,,,,
20201126,ND,76442,2608,903
,,,,
20201125,ND,75478,2587,893
,,,,
20201124,ND,74401,2528,889
,,,,
20201123,ND,73397,2481,852
,,,,
20201122,ND,72683,2459,846
,,,,
20201121,ND,71540,2424,840
,,,,
20201120,ND,70016,2390,840
,,,,
20201119,ND,68612,2338,801
,,,,
20201118,ND,67230,2307,791
,,,,
20201117,ND,65967,2261,775
,,,,
20201116,ND,64885,2195,749
,,,,
20201115,ND,63796,2178,742
,,,,
20201114,ND,62872,2153,732
,,,,
20201113,ND,60602,2120,713
,,,,
20201112,ND,59173,2082,703
,,,,
20201111,ND,57373,1967,691
,,,,
20201110,ND,56342,1906,649
,,,,
20201109,ND,55458,1906,649
,,,,
20201108,ND,54305,1881,644
,,,,
20201107,ND,53204,1858,633
,,,,
20201106,ND,51602,1817,618
,,,,
20201105,ND,49837,1776,601
,,,,
20201104,ND,48301,1738,572
,,,,
